91," 708 S State St Yadkinville, NC",$2.33 ,Fast Phils #505,-80.66008083,36.12261288
92," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
93," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.66010622,36.12034871
94," 8269 Us 601 Dobson, NC",$2.26 ,Circle K,-80.71960672,36.32787548
95," 631 Cc Camp Rd Elkin, NC",$2.14 ,7-eleven #36077,-80.82354086,36.28014804
96," 626 Cc Camp Rd Elkin, NC",$2.15 ,Speedway #6940,-80.82681907,36.27970432
97," 411 N Bridge St Jonesville, NC",$2.15 ,Speedway #6944,-80.84585733,36.24012711
98," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.38941918,36.07574956
99," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
100," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.4984467,36.41123679
101," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.49852246,36.41005027
102," 818 S Key St Pilot Mountain, NC",$2.10 ,Speedway #6948,-80.48906998,36.37505396
103," 1681 Us Highway 21 Thurmond, NC",$2.10 ,Foot Hills Grocery,-80.91983842,36.36275408
104," 805 S Key St Pilot Mountain, NC",$2.10 ,Circle K,-80.4878415,36.37561691
105," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.66010622,36.12034871
106," 401 Cc Camp Rd Elkin, NC",$2.12 ,Sheetz #535,-80.85332689,36.27004028
107," 104 Nc 67 Hwy East Bend, NC",$2.13 ,Speedway #6947,-80.50725171,36.21517896
108," 2471 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Circle K #3160,-80.3827395,36.03087068
109," 2410 Lewisville Clemmons Rd Clemmons, NC",$2.76 ,Four Brothers #212,-80.38399012,36.03358754
110," 2420 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Speedway #6938,-80.38363766,36.03270939
111," 2397 Lewisville Clemmons Rd Clemmons, NC",$2.78 ,Interstate Shell,-80.38529085,36.03610393
112," 2375 Lewisville Clemmons Rd Clemmons, NC",$2.42 ,7-eleven #36069,-80.38551697,36.03718438
113," 5427 Us Highway 158 Advance, NC",$2.10 ,Speedway #7918,-80.43367099,36.00600752
114," 111 Nc Highway 801 N Advance, NC",$2.40 ,Four Brothers #310,-80.43950178,36.00523356
115," 2505 Somerset Center Dr Winston Salem, NC",$2.22 ,Sheetz #385,-80.3277368,36.04909497
116," 258 Nc Highway 801 N Advance, NC",$2.10 ,Lowes Foods #1205,-80.44324702,36.01052979
117," 286 Nc Hwy 801 N Advance, NC",$2.10 ,Sheetz #594,-80.4448732,36.00969264
118," 1465 River Ridge Rd Clemmons, NC",$2.04 ,Quality Mart #42,-80.37500243,35.96119926
119," 2726 N Main St High Point, NC",$2.05 ,Murphy Usa #7500,-80.03164694,35.99479042
120," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.38941918,36.07574956
121," 802 Westchester Dr High Point, NC",$2.06 ,Sheetz #538,-80.03380435,35.97410103
122," 2201 N Main St High Point, NC",$2.06 ,Speedway #6952,-80.02377843,35.98397427
123," 3350 North Main St High Point, NC",$2.06 ,Sheetz #571,-80.03842336,36.00440607
124," 2312 Westchester Dr High Point, NC",$2.06 ,Sams Mart #107,-80.03468316,35.93795666
125," 3030 N Main St High Point, NC",$2.06 ,Speedway #6953,-80.03579974,36.00039081
126," 2907 N Main St High Point, NC",$2.06 ,Raceway #6742,-80.032964,35.99621121
127," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.6601645,36.12049323
128," 3062 Salisbury Hwy Statesville, NC",$2.40 ,Countryside Food Mart,-80.76439935,35.75206453
129," 3335 Nc 801 Hwy Woodleaf, NC",$2.17 ,Woodleaf Bp,-80.59078351,35.76671186
130," 309 Mocksville Hwy Statesville, NC",$2.18 ,Fast Phils #07,-80.82821698,35.81075731
131," 119 Campground Rd Statesville, NC",$2.26 ,Shell,-80.70993978,35.86664698
132," 1542 Salisbury Rd Statesville, NC",$2.12 ,Kangaroo Express,-80.85358795,35.76843455
133," 1541 Salisbury Rd Statesville, NC",$2.12 ,Fast Phils #506,-80.85392887,35.7686644
134," 1205 E Garner Bagnal Blvd Statesville, NC",$2.12 ,Bp,-80.86175405,35.77219796
135," 1502 E Broad St Statesville, NC",$2.67 ,Shell,-80.86051275,35.79100268
136," 1501 E Broad St Statesville, NC",$2.12 ,Royal Express,-80.86189857,35.79116818
137," 935 Salisbury Rd Statesville, NC",$3.00 ,Fast Phils #12,-80.86788709,35.77541833
138," 2585 Dale Earnhardt Blvd Kannapolis, NC",$2.09 ,Quiktrip #1003,-80.60113138,35.47323856
139," 2803 N Cannon Blvd Kannapolis, NC",$2.09 ,Speedway #7985,-80.60979596,35.53086837
140," 1924 Newton Dr Statesville, NC",$2.09 ,Fast Lane,-80.91945263,35.78290571
141," 2150 Dale Earnhardt Blvd Kannapolis, NC",$2.09 ,Quality Plus #128,-80.60832389,35.47382599
142," 1701 N Main St Kannapolis, NC",$2.10 ,Rowan Fast Mart,-80.61431473,35.51882841
143," 985 Peeler Rd Salisbury, NC",$2.10 ,Speedway #7976,-80.52005336,35.61336019
144," 217 S Salisbury Ave Granite Quarry, NC",$2.10 ,Circle K,-80.44360251,35.61315855
145," 1105 Peeler Rd Salisbury, NC",$2.10 ,Loves Travel Stops #507,-80.51696586,35.60947313
146," 1205 E Garner Bagnal Blvd Statesville, NC",$2.12 ,Bp,-80.86175405,35.77219796
147," 1501 E Broad St Statesville, NC",$2.12 ,Royal Express,-80.86189857,35.79116818
148," 3335 Nc 801 Hwy Woodleaf, NC",$2.17 ,Woodleaf Bp,-80.59078351,35.76671186
149," 1441 Us Highway 601 S Mocksville, NC",$2.15 ,Horns Express #2,-80.55171275,35.8685771
150," 1324 Salisbury Rd Mocksville, NC",$2.15 ,Rushco Food Store #15,-80.55269297,35.87027645
151," 539 E Lexington Rd Mocksville, NC",$2.40 ,Soda Shoppe,-80.55397972,35.89092854
152," 266 S Salisbury St Mocksville, NC",$2.15 ,Marathon,-80.56351728,35.892347
153," 765 Valley Rd Mocksville, NC",$2.15 ,Circle K,-80.57753748,35.90244635
154," 1668 Us Highway 64 W Mocksville, NC",$2.15 ,Four Brothers #303,-80.61443129,35.90737306
155," 1449 Yadkinville Rd Mocksville, NC",$2.14 ,Sheetz #455,-80.58528828,35.9191671
156," 3313 Us Highway 64 E Advance, NC",$2.16 ,Shell,-80.44083903,35.8756414
157," 1508 Yadkinville Rd Mocksville, NC",$2.15 ,Speedway #7919,-80.58706222,35.92058439
158," 2803 N Cannon Blvd Kannapolis, NC",$2.09 ,Speedway #7985,-80.60979596,35.53086837
159," 2420 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Speedway #6938,-80.38363766,36.03270939
160," 258 Nc Highway 801 N Advance, NC",$2.10 ,Lowes Foods #1205,-80.44324702,36.01052979
161," 985 Peeler Rd Salisbury, NC",$2.10 ,Speedway #7976,-80.52005336,35.61336019
162," 286 Nc Hwy 801 N Advance, NC",$2.10 ,Sheetz #594,-80.4448732,36.00969264
163," 217 S Salisbury Ave Granite Quarry, NC",$2.10 ,Circle K,-80.44360251,35.61315855
164," 1105 Peeler Rd Salisbury, NC",$2.10 ,Loves Travel Stops #507,-80.51696586,35.60947313
165," 5427 Us Highway 158 Advance, NC",$2.10 ,Speedway #7918,-80.43367099,36.00600752
166," 1205 E Garner Bagnal Blvd Statesville, NC",$2.12 ,Bp,-80.86175405,35.77219796
167," 1501 E Broad St Statesville, NC",$2.12 ,Royal Express,-80.86189857,35.79116818
168," 10788 Nc Highway 704 Madison, NC",$2.20 ,Foothills Market Grill,-80.09780963,36.45726604
169," 6066 Nc 704 Hwy E Sandy Ridge, NC",$2.52 ,Shell,-80.10077591,36.47148206
170," 5140 Nc 89 Hwy E Walnut Cove, NC",$2.16 ,Speedway #6946,-80.1392815,36.31281397
171," 6365 Salem Hwy Stuart, VA",$2.34 ,Marathon,-80.27244452,36.60403919
